date,no2_mean,no2_mean_weighted,no2_median,no2_min,no2_max,n_pixels,status,source_file
2005-01-18,6995167048997274.0,6999295177488289.0,4622244340826112.0,162275356835840.0,2.977341981799219e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0118_v003-2019m1120t184511.he5
2005-01-19,4773067257964134.0,4775357136097973.0,4210494684528640.0,1976203976114176.0,7708657231855616.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0119_v003-2019m1120t184544.he5
2005-01-20,,,,,,0,ok,OMI-Aura_L3-OMNO2d_2005m0120_v003-2019m1120t184357.he5
2005-01-21,1.032793906241158e+16,1.0325070098375894e+16,8689297049780224.0,2510351744630784.0,2.047935755006771e+16,26,ok,OMI-Aura_L3-OMNO2d_2005m0121_v003-2019m1120t185410.he5
2005-01-22,3466177239871943.0,3465748412857029.0,3072257752563712.0,2211616099663872.0,5045788245753856.0,9,ok,OMI-Aura_L3-OMNO2d_2005m0122_v003-2019m1120t184540.he5
2005-01-23,,,,,,0,ok,OMI-Aura_L3-OMNO2d_2005m0123_v003-2019m1120t183950.he5
2005-01-24,7311158103488865.0,7309636589563487.0,4268144419930112.0,536303774990336.0,2.9104401352228864e+16,29,ok,OMI-Aura_L3-OMNO2d_2005m0124_v003-2019m1120t185614.he5
2005-01-25,6958508273286076.0,6958777140020734.0,4394879912247296.0,-29842273730560.0,2.668633046961357e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0125_v003-2019m1120t184503.he5
2005-01-26,7630717084447539.0,7628366564056837.0,7471394380054528.0,1049324599377920.0,1.489898922049536e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0126_v003-2019m1120t185444.he5
2005-01-27,6395453611092651.0,6392447260578606.0,2909441716387840.0,537675614388224.0,3.627906046833459e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0127_v003-2019m1120t184511.he5
2005-01-28,5768626960125133.0,5765393041801317.0,5565066300620800.0,1336995536175104.0,1.2766227646644224e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0128_v003-2019m1120t184542.he5
2005-01-29,6447538104591974.0,6445763597988296.0,4401836819742720.0,635495843364864.0,2.0988223127814144e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0129_v003-2019m1120t184513.he5
2005-01-30,4657530033877811.0,4653284080443520.0,2797052757016576.0,1553865480601600.0,1.1713949921705984e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0130_v003-2019m1120t185513.he5
2005-01-31,2759656798892851.0,2756793720833896.0,2357376552271872.0,1371383728701440.0,5346555141816320.0,10,ok,OMI-Aura_L3-OMNO2d_2005m0131_v003-2019m1120t185004.he5
2005-02-01,5342568035812542.0,5336044109664638.0,2793408879919104.0,243648008552448.0,1.7840973098778624e+16,27,ok,OMI-Aura_L3-OMNO2d_2005m0201_v003-2019m1120t190127.he5
2005-02-02,4390474939142729.0,4386107154979582.0,3846760212463616.0,1296541104996352.0,1.012944951312384e+16,28,ok,OMI-Aura_L3-OMNO2d_2005m0202_v003-2019m1120t185441.he5
2005-02-03,6692544374182161.0,6691020701911980.0,2467401266364416.0,521946336854016.0,2.8566561925103616e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0203_v003-2019m1120t185606.he5
2005-02-04,3650178767441101.0,3649935851031104.5,2907942504366080.0,1400031294783488.0,9779364581343232.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0204_v003-2019m1120t185447.he5
2005-02-05,3438497884298519.5,3435272549027957.5,3681061984796672.0,-275093326397440.0,6719959518412800.0,22,ok,OMI-Aura_L3-OMNO2d_2005m0205_v003-2019m1120t185606.he5
2005-02-06,3627129758897493.5,3627818910153172.5,3253584560914432.0,-406676662386688.0,8210422691790848.0,24,ok,OMI-Aura_L3-OMNO2d_2005m0206_v003-2019m1120t185604.he5
2005-02-07,6410882806867558.0,6406118349257706.0,4612469263695872.0,769646261174272.0,1.8261434290929664e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0207_v003-2019m1120t185614.he5
2005-02-08,5640473690155691.0,5637349068358847.0,3921460968030208.0,925071598157824.0,1.7892832681394176e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0208_v003-2019m1120t185502.he5
2005-02-09,,,,,,0,ok,OMI-Aura_L3-OMNO2d_2005m0209_v003-2019m1120t185444.he5
2005-02-10,5495681323176209.0,5500827010984130.0,3358756767268864.0,-165814879649792.0,2.648167527795917e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0210_v003-2019m1120t185625.he5
2005-02-11,6096572060270592.0,6097198763902256.0,3789701303500800.0,1276985447809024.0,1.5276258074034176e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0211_v003-2019m1120t185441.he5
2005-02-12,4718075168214221.0,4714257339627572.0,2278832673390592.0,-190120334458880.0,1.9932649015476224e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0212_v003-2019m1120t190156.he5
2005-02-13,2263078259112891.5,2261708772798371.0,1904552982872064.0,-377388676415488.0,4436602432520192.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0213_v003-2019m1120t190158.he5
2005-02-14,6009520781752183.0,6008297524475686.0,3181958465060864.0,666174727651328.0,2.4090606854733824e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0214_v003-2019m1120t190154.he5
2005-02-15,3633595401546410.5,3630663205014134.0,2422954260430848.0,797681995743232.0,8055722801627136.0,24,ok,OMI-Aura_L3-OMNO2d_2005m0215_v003-2019m1120t190140.he5
2005-02-16,6214780680195277.0,6214278434390626.0,6265558152511488.0,735076472061952.0,1.5853168818651136e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0216_v003-2019m1120t190214.he5
2005-02-17,6676316286528171.0,6674974270578626.0,5024771628597248.0,1100342905274368.0,2.4061315177775104e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0217_v003-2019m1120t190128.he5
2005-02-18,4540515533420407.0,4544719361727032.0,4577426759745536.0,1197062951534592.0,8138128728522752.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0218_v003-2019m1120t190215.he5
2005-02-19,5203253773852126.0,5202863761459040.0,3769193371533312.0,526120977956864.0,2.2037172253097984e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0219_v003-2019m1120t190136.he5
2005-02-20,3321319593117832.5,3320257767010403.0,3106195376177152.0,817537763770368.0,5917069069516800.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0220_v003-2019m1120t190205.he5
2005-02-21,,,,,,0,ok,OMI-Aura_L3-OMNO2d_2005m0221_v003-2019m1120t190552.he5
2005-02-22,1804173098789546.8,1803595503704917.0,1558527533383680.0,752170911662080.0,3145362122473472.0,12,ok,OMI-Aura_L3-OMNO2d_2005m0222_v003-2019m1120t185948.he5
2005-02-23,5987607624685666.0,5984314994856825.0,3402254585430016.0,1617981020831744.0,1.6943824223862784e+16,21,ok,OMI-Aura_L3-OMNO2d_2005m0223_v003-2019m1120t190209.he5
2005-02-24,1112513588494336.0,1112708913914099.5,1244390035030016.0,64781948026880.0,1896492335890432.0,4,ok,OMI-Aura_L3-OMNO2d_2005m0224_v003-2019m1120t190702.he5
2005-02-25,4580835067282063.0,4573229353175485.0,2358990654668800.0,551833302990848.0,1.6594088258174976e+16,25,ok,OMI-Aura_L3-OMNO2d_2005m0225_v003-2019m1120t190152.he5
2005-02-26,37896161591296.0,37896161591296.0,37896161591296.0,37896161591296.0,37896161591296.0,1,ok,OMI-Aura_L3-OMNO2d_2005m0226_v003-2019m1120t190646.he5
2005-02-27,2454697245234517.5,2453294204659832.0,2225712450764800.0,1540837905268736.0,4599314047303680.0,9,ok,OMI-Aura_L3-OMNO2d_2005m0227_v003-2019m1120t190719.he5
2005-02-28,3529075731726336.0,3527377094559299.5,3622746663682048.0,-932818041438208.0,8792509945741312.0,28,ok,OMI-Aura_L3-OMNO2d_2005m0228_v003-2019m1120t190638.he5
2005-03-01,2899526636395998.0,2896773934797483.5,3626014194270208.0,-345952065945600.0,5489719823564800.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0301_v003-2019m1120t190708.he5
2005-03-02,5822190013532453.0,5817972762425823.0,3766713430573056.0,-1237486109982720.0,2.999967225269453e+16,28,ok,OMI-Aura_L3-OMNO2d_2005m0302_v003-2019m1120t190204.he5
2005-03-03,1764181204271104.0,1763727138326168.8,1608525516111872.0,329698332639232.0,3325772223741952.0,13,ok,OMI-Aura_L3-OMNO2d_2005m0303_v003-2019m1120t191208.he5
2005-03-04,3244996497581202.5,3242867126122331.5,2818298752270336.0,266405295423488.0,8610111274614784.0,28,ok,OMI-Aura_L3-OMNO2d_2005m0304_v003-2019m1120t190642.he5
2005-03-05,724174718703429.9,724056470295175.2,1429870714290176.0,-2519021941424128.0,2589724887744512.0,11,ok,OMI-Aura_L3-OMNO2d_2005m0305_v003-2019m1120t190702.he5
2005-03-06,1568472194613248.0,1568472194613248.0,1568472194613248.0,1567649507049472.0,1569294882177024.0,2,ok,OMI-Aura_L3-OMNO2d_2005m0306_v003-2019m1120t190657.he5
2005-03-07,768355643075242.6,767477415973519.0,284408766529536.0,-1927182427357184.0,2989185568866304.0,18,ok,OMI-Aura_L3-OMNO2d_2005m0307_v003-2019m1120t191347.he5
2005-03-08,1187055284449007.0,1186561127331571.5,1190948797153280.0,-219688214724608.0,2349832442216448.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0308_v003-2019m1120t191421.he5
2005-03-09,2910528751079697.0,2908504938595438.0,2030840120868864.0,-172090934165504.0,9892049490804736.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0309_v003-2019m1120t190714.he5
2005-03-10,-428630351584649.9,-422402158980412.56,1283012763320320.0,-1.2198065750409216e+16,8541013303885824.0,26,ok,OMI-Aura_L3-OMNO2d_2005m0310_v003-2019m1120t190706.he5
2005-03-11,4604602485071127.0,4595186767560041.0,2968207337979904.0,-793688951226368.0,1.4167466095673344e+16,22,ok,OMI-Aura_L3-OMNO2d_2005m0311_v003-2019m1120t190710.he5
2005-03-12,2720952239381982.0,2718564552765902.0,1305218482438144.0,-360226356199424.0,8721714389188608.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0312_v003-2019m1120t190627.he5
2005-03-13,2333294036941718.0,2330706662799105.5,2286793328164864.0,-420369420779520.0,7411360669368320.0,29,ok,OMI-Aura_L3-OMNO2d_2005m0313_v003-2019m1120t191406.he5
2005-03-14,2712660014680356.5,2712162399711541.5,2755266751758336.0,1262240556646400.0,4297095452295168.0,14,ok,OMI-Aura_L3-OMNO2d_2005m0314_v003-2019m1120t190618.he5
2005-03-15,3119755473767629.0,3119755473767629.0,3181026994028544.0,1936150990159872.0,4272927134449664.0,5,ok,OMI-Aura_L3-OMNO2d_2005m0315_v003-2019m1120t190657.he5
2005-03-16,2084591942210614.0,2082169398610310.2,1723187855360000.0,-1994633278128128.0,8184630339436544.0,19,ok,OMI-Aura_L3-OMNO2d_2005m0316_v003-2019m1120t191358.he5
2005-03-17,2803919660340565.5,2803431540513637.5,2455976384921600.0,810608236691456.0,5870194870190080.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0317_v003-2019m1120t191358.he5
2005-03-18,4903673454779870.0,4898996440219817.0,2394701294469120.0,-149005031964672.0,2.227607551397069e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0318_v003-2019m1120t191424.he5
2005-03-19,5649008054973235.0,5648615099961490.0,4085739843223552.0,-135080487944192.0,1.7716873239986176e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0319_v003-2019m1120t191358.he5
2005-03-20,3605532419100945.0,3603570616076460.0,2983900477390848.0,623066677772288.0,1.1963045139972096e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0320_v003-2019m1120t191422.he5
2005-03-21,4113401459297485.0,4112231237555620.5,2901018748649472.0,1066643451019264.0,1.3499319508271104e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0321_v003-2019m1120t191405.he5
2005-03-22,5016178566732186.0,5013911487377778.0,4281237896167424.0,1201494284042240.0,1.0802214264111104e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0322_v003-2019m1120t191421.he5
2005-03-23,4344296301780446.0,4340470512742700.0,2659372211634176.0,565862075465728.0,1.963584744796979e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0323_v003-2019m1120t191333.he5
2005-03-24,2608802277953809.0,2606508854954478.5,2484903258095616.0,423226983317504.0,5689150187503616.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0324_v003-2019m1120t191337.he5
2005-03-25,,,,,,0,ok,OMI-Aura_L3-OMNO2d_2005m0325_v003-2019m1120t191238.he5
2005-03-26,1212755923173376.0,1212159616406779.2,1167055692759040.0,824741631885312.0,1692170675290112.0,4,ok,OMI-Aura_L3-OMNO2d_2005m0326_v003-2019m1120t195632.he5
2005-03-27,4919806788632576.0,4918274123313495.0,3565171955990528.0,618369795489792.0,1.3274049547337728e+16,26,ok,OMI-Aura_L3-OMNO2d_2005m0327_v003-2019m1120t192734.he5
2005-03-28,4132089362323865.5,4127680125677211.0,2903859735298048.0,-798042504560640.0,1.2251856994566144e+16,20,ok,OMI-Aura_L3-OMNO2d_2005m0328_v003-2019m1120t193303.he5
2005-03-29,4729982303600640.0,4726153484862385.0,3541619563298816.0,1040048610869248.0,1.192550283083776e+16,20,ok,OMI-Aura_L3-OMNO2d_2005m0329_v003-2019m1120t192148.he5
2005-03-30,1052219464377958.4,1051468963172199.1,1265058390736896.0,-4774146596667392.0,7966028315230208.0,20,ok,OMI-Aura_L3-OMNO2d_2005m0330_v003-2019m1120t192727.he5
2005-03-31,5668454003987797.0,5664070798323750.0,5064348141617152.0,1102999879417856.0,1.3250480914300928e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0331_v003-2019m1120t192259.he5
